dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,score_status,n,n_pcr,n_rd,pcr_prevalence,n_unique_patients,raw_auc_high_score_predicts_pcr,discovery_aligned_auc,auc_ci_low_bootstrap,auc_ci_high_bootstrap,auc_bootstrap_valid_replicates,average_precision_pr_auc,pr_auc_baseline_pcr_prevalence,pr_auc_minus_pcr_prevalence,wilcoxon_p_value_aligned_score,discovery_direction_sign,performance_role,wilcoxon_q_value_aligned_score
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,253,69,184,0.2727,253,0.621928166351607,0.621928166351607,0.540600333776592,0.696267688095904,500,0.380726793780954,0.2727,0.107999521053681,0.00283408680697431,1,external_core_validation,0.00560341256719126
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,156,53,103,0.3397,156,0.568785491848324,0.568785491848324,0.46240619211772,0.655426868608503,500,0.366078106321761,0.3397,0.0263345165781715,0.160561116918311,1,external_core_validation,0.202839654066571
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,88,27,61,0.3068,88,0.561020036429873,0.561020036429873,0.42097531134951,0.693869450078882,500,0.393342724690389,0.3068,0.0865245428722069,0.365575515445011,1,external_core_validation,0.410646469403985
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,IFNG_18,IFN-gamma 18-gene mean z score,scored_preferred_coverage,110,47,63,0.4273,110,0.563323201621074,0.563323201621074,0.460678231032907,0.663178592427845,500,0.530783171553781,0.4273,0.103510444281054,0.258505724890854,1,limited_or_subtype_exploratory,0.298555907620423
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,scored_preferred_coverage,222,80,142,0.3604,222,0.676144366197183,0.676144366197183,0.605923465092983,0.752014300745382,500,0.549855973395958,0.3604,0.189495613035598,1.33680863546446e-05,1,external_core_validation,5.4809154054043e-05
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,IFNG_18,IFN-gamma 18-gene mean z score,scored_preferred_coverage,654,214,440,0.3272,654,0.668096856414613,0.668096856414613,0.628036754446292,0.705171208206216,500,0.485226737661301,0.3272,0.158009612279038,2.92033946213448e-12,1,large_stress_test,4.78935671790054e-11
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,IFNG_18,IFN-gamma 18-gene mean z score,scored_preferred_coverage,334,105,229,0.3144,334,0.660428363485132,0.660428363485132,0.594763393827049,0.72184987380702,500,0.48571441867472,0.3144,0.17134316118969,2.5057154722923e-06,1,large_stress_test,1.14149260404427e-05
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,scored_preferred_coverage,178,26,152,0.1461,178,0.757591093117409,0.757591093117409,0.675146483998458,0.85793621001032,500,0.400775278146938,0.1461,0.254707862416601,2.78053936352187e-05,1,external_core_validation,9.50017615869973e-05
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,scored_preferred_coverage,488,99,389,0.2029,488,0.593804367583288,0.593804367583288,0.534370977858655,0.651629797157,500,0.275419787186053,0.2029,0.072550934727037,0.00393518312485624,1,discovery_calibration_base,0.00717077813862692
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,scored_preferred_coverage,115,27,88,0.2348,115,0.70959595959596,0.70959595959596,0.601796757164404,0.814762653127015,500,0.480572615896806,0.2348,0.245790007201154,0.00102817194262295,1,external_core_validation,0.00221868682355478
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,scored_preferred_coverage,253,69,184,0.2727,253,0.680608065532451,0.680608065532451,0.60656685119369,0.756635989141046,500,0.393862325687036,0.2727,0.121135052959763,9.76490511894746e-06,1,external_core_validation,4.21432747238785e-05
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,scored_preferred_coverage,156,53,103,0.3397,156,0.56658728704891,0.56658728704891,0.477201051352494,0.665430206321726,500,0.382784025732364,0.3397,0.0430404359887738,0.17437329777753,1,external_core_validation,0.216645612390265
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,scored_preferred_coverage,88,27,61,0.3068,88,0.586520947176685,0.586520947176685,0.461804040182515,0.733542296706989,500,0.353233179873083,0.3068,0.0464149980549007,0.198860490080639,1,external_core_validation,0.239802355685476
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,scored_preferred_coverage,107,46,61,0.4299,107,0.428011404133999,0.571988595866001,0.45901866950254,0.679801656412534,500,0.541833435614478,0.4299,0.111926893558404,0.20480763807101,-1,limited_or_subtype_exploratory,0.243394584374243
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,scored_preferred_coverage,222,80,142,0.3604,222,0.327552816901409,0.672447183098592,0.59357869670409,0.740890430962733,500,0.502013658276862,0.3604,0.141653297916501,2.02079595193803e-05,-1,external_core_validation,7.89072705042469e-05
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,scored_preferred_coverage,651,212,439,0.3257,651,0.375349207031418,0.624650792968582,0.587170791197038,0.664325287331174,500,0.407181844509703,0.3257,0.0815290027278294,2.48621956492414e-07,-1,large_stress_test,1.52105330709864e-06
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,scored_preferred_coverage,328,104,224,0.3171,328,0.385001717032967,0.614998282967033,0.554064644249962,0.675162648699863,500,0.384284788696565,0.3171,0.0672116179648577,0.000803651330695766,-1,large_stress_test,0.0017810651112717
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,scored_low_coverage_exploratory,178,26,152,0.1461,178,0.335273279352227,0.664726720647773,0.549533653846154,0.787709500506511,500,0.291934546346525,0.1461,0.145867130616188,0.00738012832841666,-1,external_core_validation,0.0128759685729823
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,scored_low_coverage_exploratory,488,99,389,0.2029,488,0.230297836981642,0.769702163018358,0.718469850997941,0.819349570074327,500,0.430263680499314,0.2029,0.227394828040298,1.12567411574551e-16,-1,discovery_calibration_base,4.61526387455659e-15
