dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,n_genes_required,n_genes_available,coverage_pct,n_samples,n_scores_nonmissing,n_scores_missing,n_unique_patients,score_mean,score_sd,score_min,score_median,score_max,score_status_values
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,8,100,222,222,0,222,3.15192711301602e-17,0.449235093281902,-1.28917950740847,0.0518930061165525,0.94666796465892,scored_preferred_coverage
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,18,18,100,222,222,0,222,2.26050048221265e-17,0.844273746715216,-1.64830357303556,-0.109185902125395,2.74405208544197,scored_preferred_coverage
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,2,100,222,222,0,222,-7.08168992314489e-17,0.911520018966894,-1.40068421877109,-0.170522884521213,3.24341975391042,scored_preferred_coverage
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,PAM50,PAM50 non-luminal affinity score,50,48,96,654,654,0,654,-0.00690579764992079,0.533518682190684,-1.29483282674772,0.072459834997829,0.873317412071211,scored_preferred_coverage
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,43,84.3,654,651,3,654,0.000102892999251764,0.436499810641625,-1.17839177102178,0.0394027187484769,1.14065087779585,scored_preferred_coverage
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,16,100,654,654,0,654,4.52793662337605e-17,0.502011723638236,-1.52453138065472,0.0554225758777303,1.17665065935805,scored_preferred_coverage
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,90,90.9,654,654,0,654,1.11297587066937e-05,1.07356340565724,-2.90495548448382,0.114534813609541,2.69810080180065,scored_preferred_coverage
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,GENE76,Wang 76-gene weighted risk score,58,49,84.5,654,654,0,654,8.46801683946867e-17,0.318583405480418,-0.962726846915383,-0.0167148740544239,1.09222488090428,scored_preferred_coverage
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,8,100,654,654,0,654,-1.74084076346377e-16,0.55674266275503,-2.34880143432543,0.0665403829117532,1.47093179380196,scored_preferred_coverage
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,IFNG_18,IFN-gamma 18-gene mean z score,18,18,100,654,654,0,654,-3.64477603721671e-17,0.815674698832987,-1.91498594423086,-0.0168898964487669,2.30236668045247,scored_preferred_coverage
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,2,100,654,654,0,654,6.03198199584392e-16,0.903357288680099,-2.03750867356586,-0.0887442831034767,3.41978660921119,scored_preferred_coverage
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,PAM50,PAM50 non-luminal affinity score,50,48,96,334,334,0,334,0.000565775507830076,0.544126941788847,-1.33478072079896,0.0444528875379939,0.863113330438558,scored_preferred_coverage
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,43,84.3,334,328,6,334,0.00214312840142037,0.418456913887235,-0.936234085927484,0.0353331122574855,1.1935194102709,scored_preferred_coverage
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,16,100,334,334,0,334,2.85580556442684e-16,0.484002845666609,-1.54360867898763,0.0779583703433204,1.31590198739435,scored_preferred_coverage
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,90,90.9,334,334,0,334,-3.57002948137452e-05,1.11348951121499,-3.40322176099472,0.0293057892106896,2.48939408178218,scored_preferred_coverage
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,GENE76,Wang 76-gene weighted risk score,58,48,82.8,334,282,52,334,-0.0168745660185761,0.306251987862023,-0.877635373150675,-0.0318298220459537,0.733546560782472,scored_preferred_coverage
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,8,100,334,334,0,334,-1.20115967031381e-17,0.540811500559894,-1.768369918264,0.0599337020388299,1.33856161314506,scored_preferred_coverage
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,IFNG_18,IFN-gamma 18-gene mean z score,18,18,100,334,334,0,334,0.0010156290935246,0.811195927037672,-2.14033250565873,0.0369109987920615,1.75513112678131,scored_preferred_coverage
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,2,100,334,334,0,334,-4.40849506636904e-16,0.904465223397114,-2.62109246302581,0.00946102943055715,3.06322769632712,scored_preferred_coverage
GSE106977,GSE106977_GPL17586,GPL17586,limited_subtype_panel_or_gene_space,PAM50,PAM50 non-luminal affinity score,50,0,0,119,0,119,119,,,,,,not_scored_insufficient_coverage
GSE106977,GSE106977_GPL17586,GPL17586,limited_subtype_panel_or_gene_space,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,0,0,119,0,119,119,,,,,,not_scored_insufficient_coverage
GSE106977,GSE106977_GPL17586,GPL17586,limited_subtype_panel_or_gene_space,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,0,0,119,0,119,119,,,,,,not_scored_insufficient_coverage
GSE106977,GSE106977_GPL17586,GPL17586,limited_subtype_panel_or_gene_space,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,0,0,119,0,119,119,,,,,,not_scored_insufficient_coverage
GSE106977,GSE106977_GPL17586,GPL17586,limited_subtype_panel_or_gene_space,GENE76,Wang 76-gene weighted risk score,58,0,0,119,0,119,119,,,,,,not_scored_insufficient_coverage
GSE106977,GSE106977_GPL17586,GPL17586,limited_subtype_panel_or_gene_space,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,0,0,119,0,119,119,,,,,,not_scored_insufficient_coverage
